*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3.9
*Date=20:38:08
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;94.7293;-29.3372;0;Bottom;Copper Fill128
103;;;10.2997;-68.1484;0;Bottom;Copper Fill502
104;;;52.0446;-84.1123;0;Bottom;Copper Fill385
105;;;93.9546;-90.2591;0;Bottom;Copper Fill223
106;;;38.5921;-51.0328;0;Bottom;Via148
107;;;1.4097;-56.312;0;Bottom;Copper Fill188
108;;;25.0698;-34.7728;0;Bottom;Copper Fill50
109;;;91.8845;-20.117;0;Bottom;Copper Fill417
110;;THT;6.8422;-15.7903;0;Bottom;J182
111;;;85.0646;-50.7875;0;Bottom;Copper Fill571
112;;;5.3848;-40.7164;0;Bottom;Copper Fill307
113;;;64.9097;-91.872;0;Bottom;Copper Fill245
114;;;22.3393;-59.5124;0;Bottom;Copper Fill184
115;;;70.7136;-12.2303;0;Bottom;Copper Fill549
116;;;29.083;-81.7374;0;Bottom;Copper Fill250
117;;;33.3248;-12.3827;0;Bottom;Copper Fill408
118;1k;0805 [SMD];84.5571;-13.5677;0;Top;R40
119;;;79.0448;-76.4288;0;Bottom;Copper Fill260
120;;;72.9488;-64.7575;0;Bottom;Copper Fill198
121;;;21.1328;-27.0512;0;Bottom;Copper Fill329
122;;;6.0198;-25.9971;0;Bottom;Copper Fill435
123;1k;0805 [SMD];28.1147;-72.0602;90;Top;R51
124;;;39.4462;-87.2238;0;Bottom;Copper Fill2
125;100k;0805 [SMD];34.1472;-91.9177;-90;Top;R10
126;;;91.6432;-90.2591;0;Bottom;Copper Fill530
127;;;49.9872;-2.5148;0;Bottom;Copper Fill356
128;;;97.1936;-81.2276;0;Bottom;TXT8
129;;;21.1328;-34.5188;0;Bottom;Copper Fill313
130;;;3.302;-92.8499;0;Bottom;Copper Fill206
131;;;70.2945;-34.4426;0;Bottom;Copper Fill564
132;;;59.4741;-65.8624;0;Bottom;Copper Fill121
133;;;94.7928;-71.3488;0;Bottom;Copper Fill20
134;1µF;0805 [SMD, multilayer];77.0822;-42.1427;0;Top;C12
135;;;87.6554;-12.1414;0;Bottom;Copper Fill344
136;2.2;0805 [SMD];2.46969;-42.4602;0;Top;R71
137;;;97.2063;-24.7639;-90;Bottom;TXT4
138;;;41.3004;-88.5319;0;Bottom;Copper Fill533
139;;;71.3994;-62.5223;0;Bottom;Copper Fill201
140;;;82.423;-9.9316;0;Bottom;Copper Fill346
141;;;47.7393;-29.9976;0;Bottom;Copper Fill371
142;1k;0805 [SMD];31.6072;-84.6152;-90;Top;R11
143;;;97.3772;-19.5801;-90;Bottom;TXT4
144;;;84.5693;-50.2922;0;Bottom;Copper Fill570
145;;;71.2946;-15.7903;0;Bottom;Via171
146;;;22.0345;-75.0572;0;Bottom;Copper Fill377
147;;THT;69.0722;-69.1303;0;Bottom;JP1
148;;;5.43659;-64.383;-90;Bottom;TXT13
149;;;97.3772;-8.68404;-90;Bottom;TXT4
150;;;21.1328;-24.2064;0;Bottom;Copper Fill331
151;;;14.7796;-74.2103;0;Bottom;Via169
152;;;94.7928;-45.9488;0;Bottom;Copper Fill42
153;;;65.5828;-24.8922;0;Bottom;Copper Fill324
154;;;56.3721;-33.8878;0;Bottom;Via142
155;;;4.13623;-6.1035;0;Bottom;TXT11
156;;;40.1193;-28.6514;0;Bottom;Copper Fill537
157;;;94.7928;-51.0288;0;Bottom;Copper Fill36
158;;;82.5246;-93.2563;0;Bottom;Copper Fill583
159;100k;0805 [SMD];88.5122;-50.0803;180;Top;R37
160;;;56.7436;-78.7148;0;Bottom;Copper Fill12
161;;;57.9596;-12.2978;0;Bottom;Via152
162;;;16.764;-68.1484;0;Bottom;Copper Fill271
163;;;75.4221;-50.0803;0;Bottom;Via47
164;;;38.9096;-19.6003;0;Bottom;Via124
165;0.1µF;0805 [SMD, multilayer];58.9847;-20.2352;180;Top;C5
166;100 nF;0805 [SMD, multilayer];68.1197;-19.5277;-90;Top;C28
167;;;52.5621;-62.1453;0;Bottom;Via99
168;;;4.2545;-93.8024;0;Bottom;Copper Fill514
169;;;47.8028;-29.2102;0;Bottom;Copper Fill61
170;;TO220 [THT];50.5937;-68.4953;90;Bottom;Q6
171;;SO16;81.1372;-68.8128;90;Bottom;DRV8825
172;;THT;9.3822;-13.2503;0;Bottom;J143
173;;;42.6593;-28.6514;0;Bottom;Copper Fill540
174;;;61.7728;-28.3466;0;Bottom;Copper Fill70
175;;;58.3946;-12.3827;0;Bottom;Copper Fill396
176;;;15.7734;-48.4888;0;Bottom;Copper Fill37
177;0.22µF;0805 [SMD, multilayer];60.4997;-25.2427;-90;Top;C6
178;1k;0805 [SMD];72.8822;-32.8627;-90;Top;R21
179;10;0805 [SMD];45.6497;-47.8578;180;Top;R32
180;;;74.4728;-28.3466;0;Bottom;Copper Fill73
181;;;89.4969;-49.6064;0;Bottom;Copper Fill471
182;;;87.1696;-27.5378;0;Bottom;Via93
183;;;28.5496;-46.3171;0;Bottom;Copper Fill449
184;0.1µF;0805 [SMD, multilayer];83.0422;-85.2502;-90;Top;C15
185;;;84.2772;-49.6572;0;Bottom;Copper Fill30
186;1k;0805 [SMD];45.2597;-72.0602;90;Top;R50
187;1k;0805 [SMD];53.8322;-72.0602;90;Top;R58
188;;;77.6446;-18.9653;0;Bottom;Via116
189;;;51.5493;-83.617;0;Bottom;Copper Fill131
190;;;80.8228;-26.7972;0;Bottom;Copper Fill75
191;;;83.693;-46.6219;0;Bottom;Copper Fill466
192;;;44.3071;-8.17035;0;Bottom;Via179
193;;;69.2036;-63.8405;0;Bottom;TXT1
194;;;16.4592;-59.2838;0;Bottom;Copper Fill279
195;;;27.5336;-66.1799;0;Bottom;Copper Fill480
196;;;15.2146;-16.8023;0;Bottom;Copper Fill180
197;;;52.3494;-19.3423;0;Bottom;Copper Fill107
198;;THT;4.3022;-13.2503;0;Bottom;J211
199;;;34.671;-55.2071;0;Bottom;Copper Fill494
200;;;51.3588;-19.3423;0;Bottom;Copper Fill359
201;0.1µF;0805 [SMD, multilayer];68.7547;-89.5227;90;Top;C13
202;;;57.658;-33.4266;0;Bottom;Copper Fill52
203;;;85.3694;-59.0171;0;Bottom;Copper Fill415
204;1k;0805 [SMD];13.8272;-84.6152;-90;Top;R16
205;10k;0805 [SMD];41.3771;-15.4727;0;Top;R63
206;;;21.1328;-42.1388;0;Bottom;Copper Fill303
207;;;48.3997;-13.64;0;Bottom;Copper Fill486
208;;;89.281;-76.505;0;Bottom;Copper Fill252
209;;;32.8549;-12.8526;0;Bottom;Copper Fill151
210;;;87.4141;-61.7476;0;Bottom;Copper Fill528
211;;;21.1328;-47.2188;0;Bottom;Copper Fill294
212;;;54.1528;-28.3466;0;Bottom;Copper Fill67
213;;;59.8297;-17.2976;0;Bottom;Copper Fill401
214;;;97.2461;-94.1328;0;Bottom;TXT9
215;;;57.8993;-12.8526;0;Bottom;Copper Fill142
216;;;95.9993;-33.7314;0;Bottom;Copper Fill510
217;;;64.1096;-91.0719;0;Bottom;Copper Fill247
218;;;1.4097;-57.2772;0;Bottom;Copper Fill187
219;;;24.7904;-31.9788;0;Bottom;Copper Fill56
220;;;28.0797;-45.8472;0;Bottom;Copper Fill447
221;;;1.4446;-56.7478;0;Bottom;Via190
222;;;5.3848;-44.1962;0;Bottom;Copper Fill300
223;;;21.1328;-16.7388;0;Bottom;Copper Fill92
224;;;32.8549;-11.8874;0;Bottom;Copper Fill406
225;;sma-diode;12.3122;-42.4603;180;Top;D18
226;;;52.8363;-92.3516;0;Bottom;IMG1
227;;;65.6844;-91.0719;0;Bottom;Copper Fill248
228;;;5.5245;-26.4924;0;Bottom;Copper Fill181
229;;;49.9364;-65.9767;0;Bottom;Copper Fill524
230;;;51.054;-84.1123;0;Bottom;Copper Fill132
231;470;0805 [SMD];55.4197;-25.2427;-90;Top;R4
232;;;21.1328;-19.2788;0;Bottom;Copper Fill87
233;;;75.4888;-82.4867;0;Bottom;Copper Fill387
234;;;59.9313;-19.7614;0;Bottom;Copper Fill457
235;220;0805 [SMD];91.0522;-24.6802;180;Top;R59
236;;;94.234;-29.8071;0;Bottom;Copper Fill381
237;;;86.4489;-92.2022;0;Bottom;Copper Fill240
238;;;34.1249;-93.523;0;Bottom;Copper Fill462
239;;;18.3896;-72.9871;0;Bottom;Copper Fill165
240;;;37.338;-6.6804;0;Bottom;Copper Fill101
241;;;53.2384;-66.1799;0;Bottom;Copper Fill484
242;;;54.8894;-93.9167;0;Bottom;Copper Fill445
243;;;39.4462;-82.1438;0;Bottom;Copper Fill4
244;;SO;79.6767;-55.7953;-90;Top;IC1
245;;;48.1838;-65.5068;0;Bottom;Copper Fill265
246;;;32.8168;-65.9767;0;Bottom;Copper Fill523
247;;;59.8646;-16.7428;0;Bottom;Via156
248;;;18.542;-45.8726;0;Bottom;Copper Fill293
249;;;89.4588;-82.4867;0;Bottom;Copper Fill110
250;;;36.6649;-65.6592;0;Bottom;Copper Fill481
251;;;84.5693;-25.578;0;Bottom;Copper Fill211
252;;;21.1328;-19.2788;0;Bottom;Copper Fill339
253;;;59.9313;-71.1964;0;Bottom;Copper Fill500
254;;;94.7928;-51.0288;0;Bottom;Copper Fill289
255;;;22.3393;-59.5124;0;Bottom;Copper Fill436
256;;;2.8448;-80.6071;0;Bottom;Copper Fill173
257;;;85.7758;-91.5291;0;Bottom;Copper Fill574
258;;;30.4292;-37.0588;0;Bottom;Copper Fill304
259;;;25.146;-12.9288;0;Bottom;Copper Fill95
260;;;16.6497;-93.523;0;Bottom;Copper Fill460
261;;;25.8953;-76.9114;0;Bottom;Copper Fill229
262;;;91.3892;-20.6123;0;Bottom;Copper Fill161
