*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3.1b
*Date=16:05:20
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;88.6841;-90.6274;0;Bottom;Copper Fill548
104;;;79.0702;-76.5812;0;Bottom;Copper Fill254
105;;;43.9928;-28.3466;0;Bottom;Copper Fill64
106;;;83.0834;-30.6072;0;Bottom;Copper Fill311
107;;;44.1706;-88.5319;0;Bottom;Copper Fill506
108;;;77.5716;-17.9072;0;Bottom;Copper Fill89
109;;;84.5693;-50.2922;0;Bottom;Copper Fill213
110;;;6.8326;-32.0423;0;Bottom;Copper Fill460
111;;0805 [SMD];36.2698;-47.8578;0;Top;LED3
112;;;17.9546;-72.9403;0;Bottom;Via170
113;;THT;6.5247;-18.9653;0;Bottom;J213
114;1k;0805 [SMD];88.5122;-39.6027;180;Top;R30
115;;;21.1328;-16.7388;0;Bottom;Copper Fill92
116;;;43.053;-23.3936;0;Bottom;Copper Fill326
117;;;11.6439;-4.1985;0;Bottom;TXT11
118;;;61.2902;-85.9919;0;Bottom;Copper Fill536
119;;;87.6554;-12.1414;0;Bottom;Copper Fill336
120;;;75.9841;-41.6562;0;Bottom;Copper Fill442
121;;;34.671;-47.8919;0;Bottom;Copper Fill467
122;;;24.1808;-16.7388;0;Bottom;Copper Fill91
123;;;21.1328;-31.9788;0;Bottom;Copper Fill54
124;100 nF;0805 [SMD, multilayer];63.0397;-25.2427;-90;Top;C27
125;;;94.7293;-29.007;0;Bottom;Copper Fill556
126;;;39.5446;-10.1565;0;Bottom;TXT4
127;;;49.0093;-65.0496;0;Bottom;Copper Fill193
128;;;80.5688;-66.3323;0;Bottom;Copper Fill114
129;;;51.0032;-69.266;0;Bottom;Copper Fill41
130;;;94.7928;-61.1888;0;Bottom;Copper Fill25
131;10;0805 [SMD];45.6497;-45.3178;0;Top;R31
132;;;37.3888;-76.6828;0;Bottom;Copper Fill248
133;100k;0805 [SMD];53.8322;-67.1527;-90;Top;R56
134;;;28.5242;-18.3771;0;Bottom;Copper Fill137
135;;;15.7734;-48.4888;0;Bottom;Copper Fill35
136;1k;0805 [SMD];36.6872;-72.0602;90;Top;R57
137;;;86.8934;-39.0146;0;Bottom;Copper Fill39
138;;;89.9922;-34.8871;0;Bottom;Copper Fill448
139;;;59.2328;-28.3466;0;Bottom;Copper Fill68
140;;;61.341;-32.6138;0;Bottom;Copper Fill313
141;;;51.8541;-19.8376;0;Bottom;Copper Fill353
142;;;72.4408;-77.648;0;Bottom;Copper Fill242
143;;;76.2762;-31.7248;0;Bottom;Copper Fill52
144;;;55.4196;-8.80535;0;Bottom;Via180
145;;0805 [SMD];36.2698;-55.1602;0;Top;LED1
146;;;84.8741;-58.5472;0;Bottom;Copper Fill131
147;;;58.9788;-65.3671;0;Bottom;Copper Fill369
148;;;4.2545;-84.6076;0;Bottom;Copper Fill493
149;;;49.9872;-16.2308;0;Bottom;Copper Fill322
150;0.22µF;0805 [SMD, multilayer];73.1997;-25.2427;-90;Top;C10
151;;;21.1328;-37.0588;0;Bottom;Copper Fill48
152;;;61.3606;-51.8407;0;Bottom;IMG1
153;;;21.082;-85.5347;0;Bottom;Copper Fill181
154;;;73.152;-86.2967;0;Bottom;Copper Fill542
155;;;97.2484;-81.0936;0;Bottom;TXT8
156;;TO220 [THT];24.6222;-83.9712;180;Bottom;Q1
