*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3a (GND)
*Date=01:09:23
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;12.3444;-26.3019;0;Bottom;Copper Fill208
103;;;21.4376;-48.7682;0;Bottom;Copper Fill283
104;;;4.32736;-59.6694;-90;Bottom;TXT13
105;;;30.0196;-88.7685;0;Bottom;Via96
106;;;59.2328;-79.0196;0;Bottom;Copper Fill243
107;;;66.5321;-9.076;0;Bottom;Via175
108;;;36.0045;-13.1828;0;Bottom;Copper Fill547
109;;;84.074;-91.9863;0;Bottom;Copper Fill535
110;;;75.3745;-50.8764;0;Bottom;Copper Fill341
111;;;19.1008;-13.2082;0;Bottom;Copper Fill89
112;;;73.4441;-65.5068;0;Bottom;Copper Fill415
113;10;0805 [SMD];69.9521;-48.1284;180;Top;R32
114;;;41.2355;-5.65669;0;Bottom;TXT11
115;;TO220 [THT];37.5762;-70.6709;90;Bottom;Q5
116;;;70.5993;-8.9918;0;Bottom;Copper Fill396
117;;sma-diode;83.6046;-82.7359;0;Top;D15
118;;;90.17;-10.1856;0;Bottom;Copper Fill339
119;;;48.768;-67.3991;0;Bottom;Copper Fill448
120;;;43.9896;-38.2859;0;Bottom;Via237
121;;;73.3552;-34.2267;0;Bottom;Copper Fill522
122;;;25.8953;-77.1654;0;Bottom;Copper Fill506
123;;;44.4246;-38.3415;0;Bottom;Copper Fill408
124;;;39.8924;-16.1139;0;Bottom;TXT4
125;100 nF;0805 [SMD, multilayer];64.5546;-20.5059;0;Top;C26
126;;;4.2545;-84.8616;0;Bottom;Copper Fill181
127;;;47.7996;-29.7134;0;Bottom;Via81
128;;;73.1393;-24.0286;0;Bottom;Copper Fill514
129;;;2.3971;-80.831;0;Bottom;Via186
130;;;26.4668;-68.1611;0;Bottom;Copper Fill493
131;;;44.6246;-54.1609;0;Bottom;Via214
132;;;48.4346;-92.5785;0;Bottom;Via232
133;;;60.4393;-84.506;0;Bottom;Copper Fill383
134;1k;0805 [SMD];57.9597;-73.2834;90;Top;R58
135;;;53.7845;-91.0592;0;Bottom;Copper Fill529
136;;300 mil [THT];57.6168;-91.9434;180;Bottom;D16
137;;;64.3097;-87.4984;0;Bottom;HC-05
138;;;83.3596;-40.5084;0;Bottom;Via162
139;0.22µF;0805 [SMD, multilayer];63.0397;-33.1334;-90;Top;C8
140;;;21.4376;-33.5282;0;Bottom;Copper Fill48
141;;;82.0928;-79.0196;0;Bottom;Copper Fill249
142;;SO;79.6767;-46.2234;-90;Top;IC2
143;;;60.9346;-84.9759;0;Bottom;Copper Fill138
144;;;73.1393;-93.396;0;Bottom;Copper Fill234
145;;;35.0266;-33.1218;0;Bottom;Copper Fill296
146;;;59.2074;-28.626;0;Bottom;Copper Fill64
147;;;37.338;-10.973;0;Bottom;Copper Fill335
148;;;75.3745;-49.9112;0;Bottom;Copper Fill102
149;;;25.6286;-47.2442;0;Bottom;Copper Fill284
150;;THT;15.0972;-21.1409;0;Bottom;J174
151;;;4.2545;-94.0564;0;Bottom;Copper Fill175
152;;THT;7.4772;-21.1409;0;Bottom;J213
153;;;54.6354;-6.9852;0;Bottom;Copper Fill100
154;;;16.6497;-93.777;0;Bottom;Copper Fill431
155;;;94.7928;-69.0882;0;Bottom;Copper Fill13
156;;;19.05;-25.9082;0;Bottom;Copper Fill315
157;;;83.2104;-15.799;0;Bottom;Copper Fill324
158;;;6.3246;-46.5711;0;Bottom;Copper Fill414
159;;;45.0596;-54.1911;0;Bottom;Copper Fill389
160;100k;0805 [SMD];16.6847;-92.1883;-90;Top;R13
161;;;94.7928;-66.5482;0;Bottom;Copper Fill261
162;;;84.5693;-50.5462;0;Bottom;Copper Fill202
163;;;43.2308;-78.029;0;Bottom;Copper Fill251
164;;;94.7928;-71.6282;0;Bottom;Copper Fill12
165;;;88.011;-91.5291;0;Bottom;Copper Fill223
166;0.1µF;0805 [SMD, multilayer];64.3097;-90.9183;-90;Top;C13
167;;;23.7744;-18.2882;0;Bottom;Copper Fill84
168;;;54.1274;-28.626;0;Bottom;Copper Fill62
169;;;89.789;-76.9114;0;Bottom;Copper Fill2
170;470;0805 [SMD];55.4197;-25.5134;-90;Top;R4
171;;;81.4578;-15.4434;0;Bottom;Copper Fill86
172;;;70.5993;-8.9918;0;Bottom;Copper Fill149
173;;;94.7928;-76.7082;0;Bottom;Copper Fill253
174;;TO220 [THT];54.7212;-70.6709;90;Bottom;Q6
175;;;47.7393;-30.2516;0;Bottom;Copper Fill349
176;;;76.708;-10.973;0;Bottom;Copper Fill92
177;;THT;4.9372;-18.6009;0;Bottom;J220
178;;;21.8948;-8.8267;0;Bottom;Copper Fill379
179;;;59.0169;-21.1076;0;Bottom;Copper Fill426
180;;;4.2545;-94.0564;0;Bottom;Copper Fill476
181;;;10.0838;-54.5594;0;Bottom;Copper Fill23
182;;;94.234;-29.7563;0;Bottom;Copper Fill564
183;1k;0805 [SMD];88.5122;-55.1134;180;Top;R24
184;;;76.3397;-11.9636;0;Bottom;Copper Fill515
185;;;75.9841;-41.9356;0;Bottom;Copper Fill438
186;;;7.4549;-7.6202;0;Bottom;Copper Fill196
187;;;87.4141;-62.2556;0;Bottom;Copper Fill496
188;2.2;0603 [SMD];66.1121;-45.5884;0;Top;R69
189;;;97.3009;-94.2694;0;Bottom;TXT9
190;;THT;21.5742;-36.0634;0;Bottom;J4
191;1k;0805 [SMD];72.8822;-33.1334;-90;Top;R21
192;;sma-diode;49.9496;-86.2283;0;Top;D54
193;0.22µF;0805 [SMD, multilayer];52.8797;-25.5134;-90;Top;C4
194;;;54.7116;-91.9863;0;Bottom;Copper Fill531
195;;;63.7032;-89.9543;0;Bottom;Copper Fill551
196;;;22.1742;-69.4311;0;Bottom;Copper Fill367
197;;;56.6928;-10.1094;0;Bottom;Copper Fill338
198;;;84.5693;-50.5462;0;Bottom;Copper Fill536
199;;;50.2793;-24.0286;0;Bottom;Copper Fill516
200;;;7.4549;-7.6202;0;Bottom;Copper Fill500
201;;;81.1371;-66.5434;0;Bottom;Via53
