*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.4d
*Date=19:59:33
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;70.5993;-29.2864;0;Bottom;Copper Fill354
103;;;67.7418;-11.4556;0;Bottom;Copper Fill340
104;;;54.7878;-28.0672;0;Bottom;Copper Fill312
105;;;75.4221;-50.3509;0;Bottom;Via47
106;;;23.7744;-30.9882;0;Bottom;Copper Fill56
107;;;5.334;-70.3963;0;Bottom;Copper Fill573
108;;;16.4592;-59.5378;0;Bottom;Copper Fill272
109;;;22.6949;-72.1616;0;Bottom;Copper Fill121
110;470;0805 [SMD];12.4846;-33.5234;180;Top;R41
111;;;94.7928;-64.0082;0;Bottom;Copper Fill15
112;;;97.3009;-94.2694;0;Bottom;TXT9
113;1k;0805 [SMD];32.2422;-73.2834;90;Top;R51
114;;;89.6366;-38.5828;0;Bottom;Copper Fill299
115;100k;0805 [SMD];32.2422;-68.3759;-90;Top;R49
116;;;90.7034;-54.2546;0;Bottom;Copper Fill6
117;;;20.9042;-8.8267;0;Bottom;Copper Fill131
118;;;58.4454;-67.3991;0;Bottom;Copper Fill433
119;;;56.6928;-10.1094;0;Bottom;Copper Fill344
120;;THT;15.0972;-13.5209;0;Bottom;J170
121;;;46.4566;-24.7398;0;Bottom;Copper Fill72
122;;;83.2993;-41.072;0;Bottom;Copper Fill365
123;;;34.4297;-20.4726;0;Bottom;Copper Fill523
124;;;39.878;-10.973;0;Bottom;Copper Fill342
125;220;0805 [SMD];65.5797;-25.5134;-90;Top;R64
126;;THT;7.4772;-10.9809;0;Bottom;J217
127;;;57.023;-38.024;0;Bottom;Copper Fill42
128;;;72.644;-93.8659;0;Bottom;Copper Fill242
129;;;94.7928;-56.3882;0;Bottom;Copper Fill276
130;;;13.1826;-68.4532;0;Bottom;Copper Fill263
131;;;2.79661;-23.5612;-90;Bottom;TXT11
132;;;68.0593;-18.3136;0;Bottom;Copper Fill475
133;;;14.5034;-68.4659;0;Bottom;Copper Fill200
134;;;48.2092;-63.8304;0;Bottom;Copper Fill259
135;;;71.0946;-8.5219;0;Bottom;Copper Fill403
136;;;44.5897;-54.6864;0;Bottom;Copper Fill141
137;;THT;37.3222;-11.1079;-90;Bottom;AUX
138;;;60.4393;-85.4966;0;Bottom;Copper Fill388
139;;;66.8274;-28.626;0;Bottom;Copper Fill68
140;;;32.2421;-59.2409;0;Bottom;Via100
141;;;84.5693;-50.5462;0;Bottom;Copper Fill542
142;2.2;0603 [SMD];66.1121;-48.1284;0;Top;R68
143;;;60.452;-35.3443;0;Bottom;Copper Fill469
144;;SO;79.6767;-56.0659;-90;Top;IC1
145;;;83.2993;-41.072;0;Bottom;Copper Fill118
146;;;69.042;-73.9362;0;Bottom;TXT1
147;;;35.5072;-45.2378;0;Bottom;IMG1
148;;;21.4376;-23.3682;0;Bottom;Copper Fill325
149;;;44.0944;-54.1911;0;Bottom;Copper Fill143
150;;;66.4845;-36.2968;0;Bottom;Copper Fill361
151;;;44.1706;-88.7859;0;Bottom;Copper Fill509
152;;;65.9892;-35.8015;0;Bottom;Copper Fill363
153;;;73.3552;-34.2267;0;Bottom;Copper Fill528
154;;;49.7586;-12.3192;0;Bottom;Copper Fill336
155;;;4.2545;-84.8616;0;Bottom;Copper Fill492
156;;;21.4376;-31.0136;0;Bottom;Copper Fill308
157;;;45.5771;-22.0934;0;Bottom;Via151
158;;;93.4593;-33.9854;0;Bottom;Copper Fill515
159;;;97.0788;-38.6082;0;Bottom;Copper Fill45
160;;;33.4645;-13.1828;0;Bottom;Copper Fill421
161;10;0805 [SMD];69.9521;-45.5884;0;Top;R31
162;;THT;4.9372;-21.1409;0;Bottom;J223
163;;;36.0045;-67.234;0;Bottom;Copper Fill496
164;;;43.434;-38.3415;0;Bottom;Copper Fill413
165;;;62.9666;-20.5615;0;Bottom;Copper Fill479
166;;;21.082;-93.1039;0;Bottom;Copper Fill490
167;;;4.2545;-86.7412;0;Bottom;Copper Fill183
168;;;2.8448;-80.8611;0;Bottom;Copper Fill129
169;;;89.9922;-42.1515;0;Bottom;Copper Fill452
170;;;44.3992;-84.9632;0;Bottom;Copper Fill247
171;100k;0805 [SMD];88.5122;-42.0959;180;Top;R36
172;;;84.0413;-5.6602;0;Bottom;TXT3
173;;;83.3628;-31.4962;0;Bottom;Copper Fill54
174;;;44.4246;-38.3415;0;Bottom;Copper Fill414
175;;;52.4002;-67.4372;0;Bottom;Copper Fill30
176;;;81.0641;-66.1164;0;Bottom;Copper Fill107
177;;;17.1704;-93.2563;0;Bottom;Copper Fill441
178;;;19.1008;-15.7482;0;Bottom;Copper Fill88
179;;;94.7928;-74.1682;0;Bottom;Copper Fill7
180;;TO220 [THT];24.6222;-91.5443;180;Bottom;Q3
181;;;75.8698;-50.3811;0;Bottom;Copper Fill105
182;;;44.4246;-38.3415;0;Bottom;Copper Fill162
183;;;69.7484;-34.2267;0;Bottom;Copper Fill556
184;;;11.2593;-69.5213;-90;Bottom;TXT13
185;;;34.1249;-93.777;0;Bottom;Copper Fill442
186;;;70.5993;-8.9918;0;Bottom;Copper Fill151
187;;;59.0169;-20.0154;0;Bottom;Copper Fill436
188;;;75.3745;-50.8764;0;Bottom;Copper Fill347
189;;;81.4578;-15.4434;0;Bottom;Copper Fill87
190;;;55.4196;-9.076;0;Bottom;Via180
191;;;1.45208;-69.3048;-90;Bottom;TXT13
192;;;44.3992;-82.4232;0;Bottom;Copper Fill1
193;;TO220 [THT];37.5762;-70.6709;90;Bottom;Q5
194;;;4.2545;-92.1768;0;Bottom;Copper Fill179
195;;;94.5642;-33.325;0;Bottom;Copper Fill50
196;;;85.3694;-59.2711;0;Bottom;Copper Fill370
197;;;11.4173;-42.5706;0;Bottom;Copper Fill562
198;;;39.878;-7.2646;0;Bottom;Copper Fill100
199;;;41.2355;-6.00669;0;Bottom;TXT11
200;100k;0805 [SMD];88.5122;-50.3509;180;Top;R37
201;;;21.4376;-46.2282;0;Bottom;Copper Fill293
202;;;84.074;-51.0415;0;Bottom;Copper Fill204
203;;;88.011;-91.5291;0;Bottom;Copper Fill548
204;;;15.3797;-48.0062;0;Bottom;Copper Fill134
205;;;70.6374;-30.4294;0;Bottom;Copper Fill52
206;1µF;0805 [SMD, multilayer];62.4772;-61.4634;0;Top;C11
207;;;63.5254;-34.2267;0;Bottom;Copper Fill519
208;;;94.7928;-76.7082;0;Bottom;Copper Fill4
209;;;3.34982;-53.2085;0;Bottom;Hole3
210;2.2;0603 [SMD];66.1121;-52.8909;0;Top;R67
211;;;94.7928;-53.8482;0;Bottom;Copper Fill280
212;;THT;12.5572;-16.0609;0;Bottom;J144
213;;;56.6674;-28.626;0;Bottom;Copper Fill64
214;;;3.00854;-59.6694;-90;Bottom;TXT13
215;;;22.1742;-71.6663;0;Bottom;Copper Fill373
216;;;30.099;-37.0715;0;Bottom;Copper Fill461
217;;;94.7928;-64.0082;0;Bottom;Copper Fill269
218;;;53.8321;-9.076;0;Bottom;Via181
219;;;88.6841;-92.2276;0;Bottom;Copper Fill228
220;;;87.4141;-63.9574;0;Bottom;Copper Fill503
221;;;60.9346;-48.1967;0;Bottom;Copper Fill471
222;;;12.8746;-26.2209;0;Bottom;Via72
223;;;55.0418;-31.6232;0;Bottom;Copper Fill306
224;;;48.8696;-92.5959;0;Bottom;Copper Fill159
225;;;70.2945;-34.7474;0;Bottom;Copper Fill555
226;;;16.4592;-62.0778;0;Bottom;Copper Fill270
227;;;50.7238;-8.2298;0;Bottom;Copper Fill346
228;;;52.5621;-39.5559;0;Bottom;Via143
229;;;16.3576;-36.373;0;Bottom;Copper Fill300
230;;;2.3749;-81.3564;0;Bottom;Copper Fill126
231;;;43.9293;-38.8368;0;Bottom;Copper Fill412
232;;;50.2793;-24.0286;0;Bottom;Copper Fill522
233;;;45.0596;-54.1911;0;Bottom;Copper Fill395
234;1pF;0805 [SMD, multilayer];12.4846;-38.6034;180;Top;C18
235;;;85.725;-73.9142;0;Bottom;Copper Fill260
236;100nF;0805 [SMD, multilayer];76.3747;-13.4483;90;Top;C24
237;;;94.4407;-10.4643;-90;Bottom;TXT4
238;;;84.3788;-59.2711;0;Bottom;Copper Fill369
239;;;62.4046;-6.536;0;Bottom;Via238
240;;;2.9021;-8.1702;-90;Bottom;TXT11
241;;;62.3697;-7.0868;0;Bottom;Copper Fill415
242;;;97.7138;-48.7428;0;Bottom;Copper Fill31
243;0.22µF;0805 [SMD, multilayer];61.8422;-71.9409;180;Top;C30
244;;;76.708;-10.973;0;Bottom;Copper Fill93
245;0.1µF;0805 [SMD, multilayer];71.2947;-13.4483;-90;Top;C9
246;;;46.8415;-10.3516;0;Bottom;Via221
247;;;36.1687;-6.00669;0;Bottom;TXT11
248;;;49.5126;-53.9615;0;Bottom;TXT11
249;470;0805 [SMD];47.7997;-25.5134;-90;Top;R2
250;;;57.8993;-66.9038;0;Bottom;Copper Fill431
251;;;68.7546;-14.156;0;Bottom;Via205
252;;;51.7144;-19.5963;0;Bottom;Copper Fill406
253;;;4.2545;-84.8616;0;Bottom;Copper Fill184
254;;;59.0169;-21.1076;0;Bottom;Copper Fill435
255;1k;0805 [SMD];57.9597;-73.2834;90;Top;R58
256;;;63.4873;-21.1076;0;Bottom;Copper Fill477
257;;;21.4249;-8.3314;0;Bottom;Copper Fill383
258;;;56.6896;-80.5135;0;Bottom;Via202
259;;;81.5594;-66.5863;0;Bottom;Copper Fill109
260;;;28.7496;-31.3009;0;Bottom;Via149
261;;;44.6246;-54.1609;0;Bottom;Via214
262;10k;0805 [SMD];55.4922;-14.1559;0;Top;R63
263;;;26.4668;-68.1611;0;Bottom;Copper Fill501
264;;;15.0749;-7.6202;0;Bottom;Copper Fill223
265;;;65.6844;-84.9759;0;Bottom;Copper Fill216
