*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.6c (gnd)
*Date=21:38:02
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;;80.5688;-66.5863;0;Bottom;Copper Fill99
102;;;70.2945;-90.0432;0;Bottom;Copper Fill550
103;;;21.4376;-46.2282;0;Bottom;Copper Fill277
104;;;63.5254;-34.2267;0;Bottom;Copper Fill506
105;;;16.8402;-37.5668;0;Bottom;Copper Fill288
106;;;94.7928;-53.8482;0;Bottom;Copper Fill262
107;;;27.9146;-25.3367;0;Bottom;Copper Fill226
108;;;16.6497;-86.4618;0;Bottom;Copper Fill434
109;2.2;0805 [SMD];2.46969;-35.7459;0;Top;R73
110;;;49.9872;-72.1616;0;Bottom;Copper Fill233
111;;;65.3288;-93.5611;0;Bottom;Copper Fill384
112;;;28.3464;-68.1611;0;Bottom;Copper Fill489
113;;;17.1704;-85.9411;0;Bottom;Copper Fill435
114;;;79.9592;-74.1428;0;Bottom;Copper Fill6
115;;;40.7797;-66.9038;0;Bottom;Copper Fill450
116;;;12.8397;-25.8066;0;Bottom;Copper Fill209
117;;;19.1008;-13.2082;0;Bottom;Copper Fill83
118;;;17.0688;-77.8258;0;Bottom;Copper Fill2
119;;;4.2545;-84.8616;0;Bottom;Copper Fill180
120;;;61.4045;-62.0524;0;Bottom;Copper Fill419
121;;;51.9271;-7.171;0;Bottom;Via177
122;;;67.4624;-9.068;0;Bottom;Copper Fill334
123;;THT;10.0172;-8.1234;0;Bottom;J218
124;;;60.833;-7.4678;0;Bottom;Copper Fill336
125;;;81.1371;-66.5434;0;Bottom;Via53
126;;;30.0196;-4.63044;0;Bottom;Via219
127;;;73.152;-85.9411;0;Bottom;Copper Fill200
128;;;44.5897;-54.6864;0;Bottom;Copper Fill144
129;;;86.4616;-39.2686;0;Bottom;Copper Fill31
130;;;22.6949;-71.1964;0;Bottom;Copper Fill113
131;;;94.7928;-48.7682;0;Bottom;Copper Fill272
132;;;89.6366;-38.5828;0;Bottom;Copper Fill286
133;;;87.2744;-35.23;0;Bottom;Copper Fill290
134;;;21.4376;-53.8482;0;Bottom;Copper Fill264
135;;;6.7818;-24.6763;0;Bottom;Copper Fill539
136;0.1µF;0805 [SMD, multilayer];45.2597;-25.5134;90;Top;C1
137;;;94.7928;-58.9282;0;Bottom;Copper Fill18
138;;SO;79.6767;-46.2234;-90;Top;IC2
139;;;21.4471;-8.7585;0;Bottom;Via189
140;;;23.9522;-21.0568;0;Bottom;Copper Fill71
141;;;46.4566;-24.7398;0;Bottom;Copper Fill65
142;;;73.152;-85.9411;0;Bottom;Copper Fill525
143;;;96.4946;-90.4115;0;Bottom;Copper Fill494
144;;THT;12.5572;-8.1234;0;Bottom;J216
145;;;31.6484;-67.3991;0;Bottom;Copper Fill449
146;;;68.0593;-18.3136;0;Bottom;Copper Fill465
147;;sma-diode;12.3122;-46.2234;180;Top;D17
148;;;21.4376;-33.5282;0;Bottom;Copper Fill44
149;;THT;10.0172;-18.2834;0;Bottom;J180
150;;;41.8846;-8.1663;0;Bottom;Copper Fill411
151;;;1.4097;-57.582;0;Bottom;Copper Fill375
152;;;83.2993;-41.072;0;Bottom;Copper Fill356
153;;;92.6084;-34.8363;0;Bottom;Copper Fill199
154;;;27.4193;-67.234;0;Bottom;Copper Fill189
155;100k;0805 [SMD];57.9597;-68.3759;-90;Top;R56
156;;;44.5897;-48.0316;0;Bottom;Copper Fill148
157;1k;0805 [SMD];31.6072;-84.8858;-90;Top;R11
158;;;76.7588;-93.5611;0;Bottom;Copper Fill130
159;10;0805 [SMD];69.9521;-48.1284;180;Top;R32
160;;;71.2946;-16.061;0;Bottom;Via223
161;;;85.0392;-91.5799;0;Bottom;Copper Fill554
162;;;57.785;-31.42;0;Bottom;Copper Fill296
163;;;68.7197;-13.7162;0;Bottom;Copper Fill519
164;0.22µF;0805 [SMD, multilayer];52.8797;-25.5134;-90;Top;C4
165;;;53.6956;-54.6102;0;Bottom;Copper Fill259
166;;THT;7.4772;-18.2834;0;Bottom;J213
167;;;89.789;-76.9114;0;Bottom;Copper Fill239
168;;;58.9534;-55.4611;0;Bottom;Copper Fill425
169;;;94.7928;-64.0082;0;Bottom;Copper Fill252
170;;;95.3389;-91.5672;0;Bottom;Copper Fill492
171;;;83.3596;-40.5084;0;Bottom;Via162
172;0.1µF;0805 [SMD, multilayer];66.8497;-86.9359;90;Top;C13
173;;;22.0345;-92.1768;0;Bottom;Copper Fill476
174;;;94.7928;-71.6282;0;Bottom;Copper Fill10
175;;;89.9922;-50.3811;0;Bottom;Copper Fill444
176;1k;0805 [SMD];80.2572;-13.8384;180;Top;R39
177;;;68.7197;-13.7162;0;Bottom;Copper Fill212
178;2.2;0805 [SMD];65.3347;-55.4309;0;Top;R66
179;;;40.8146;-60.8284;0;Bottom;Via98
180;;;95.0341;-17.2468;0;Bottom;Copper Fill404
181;;;54.3941;-60.4268;0;Bottom;Copper Fill390
182;;;22.6949;-72.1616;0;Bottom;Copper Fill362
183;;;75.8698;-50.3811;0;Bottom;Copper Fill340
184;;;45.5168;-68.1611;0;Bottom;Copper Fill184
185;;;52.324;-21.4378;0;Bottom;Copper Fill67
186;;;73.4441;-65.5068;0;Bottom;Copper Fill166
187;;;43.9293;-35.6364;0;Bottom;Copper Fill103
188;;;84.6296;-50.9859;0;Bottom;Via38
189;;;43.9293;-36.6016;0;Bottom;Copper Fill102
190;;;27.4796;-25.2684;0;Bottom;Via210
191;;;83.2993;-41.072;0;Bottom;Copper Fill109
192;;;21.4376;-23.3682;0;Bottom;Copper Fill316
193;;0805 [SMD];6.76962;-35.7459;180;Top;LED8
194;;;21.4376;-36.0682;0;Bottom;Copper Fill291
195;100k;0805 [SMD];16.6847;-92.1883;-90;Top;R13
196;;TO220 [THT];24.6222;-84.2418;180;Bottom;Q1
197;;;39.3954;-71.044;0;Bottom;Copper Fill232
198;;;94.7293;-30.2516;0;Bottom;Copper Fill545
199;;;94.7928;-51.3082;0;Bottom;Copper Fill25
200;;;80.8586;-69.36;90;Bottom;DRV8825
201;;;58.1152;-7.3916;0;Bottom;Copper Fill87
202;;;74.4474;-28.626;0;Bottom;Copper Fill62
203;;;66.5321;-11.616;0;Bottom;Via176
204;;;40.1193;-30.6326;0;Bottom;Copper Fill500
205;;;44.6532;-26.6067;0;Bottom;Copper Fill497
206;;;62.8269;-71.4504;0;Bottom;Copper Fill461
207;;;89.4969;-57.9376;0;Bottom;Copper Fill439
208;;;26.0858;-41.961;0;Bottom;Copper Fill33
209;;;60.8838;-61.5063;0;Bottom;Copper Fill421
210;;;73.5171;-64.9559;0;Bottom;Via8
211;;;73.1266;-34.976;0;Bottom;Copper Fill41
