*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3a (GND)
*Date=20:16:02
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;3.34982;-76.0683;0;Bottom;Hole4
104;;;24.4856;-54.0768;0;Bottom;Copper Fill276
105;;;42.545;-40.1068;0;Bottom;Copper Fill40
106;;;24.4094;-13.2082;0;Bottom;Copper Fill88
107;;;50.6628;-53.9615;0;Bottom;TXT11
108;;;71.9328;-79.0196;0;Bottom;Copper Fill248
109;220;0805 [SMD];89.7097;-23.2909;-90;Top;R59
110;;;59.0169;-21.1076;0;Bottom;Copper Fill429
111;;;54.8386;-10.9984;0;Bottom;Copper Fill336
112;;;21.4376;-56.1342;0;Bottom;Copper Fill22
113;;;44.4246;-38.3415;0;Bottom;Copper Fill160
114;;;53.1241;-46.1012;0;Bottom;Copper Fill394
115;;;18.3896;-53.3148;0;Bottom;Copper Fill26
116;100k;0805 [SMD];88.5122;-35.1109;180;Top;R38
117;;;41.0285;-17.6331;0;Bottom;TXT4
118;;;82.804;-36.7667;0;Bottom;Copper Fill398
119;;;4.9149;-7.6202;0;Bottom;Copper Fill204
120;;;2.3749;-81.3564;0;Bottom;Copper Fill375
121;;;53.6194;-46.5711;0;Bottom;Copper Fill145
122;;;21.4376;-30.9882;0;Bottom;Copper Fill54
123;1k;0805 [SMD];72.8822;-33.1334;-90;Top;R21
124;;;15.2654;-48.311;0;Bottom;Copper Fill272
125;;;21.4376;-23.3682;0;Bottom;Copper Fill322
126;;TO220 [THT];54.7212;-70.6709;90;Bottom;Q6
127;;;84.8614;-88.4811;0;Bottom;Copper Fill568
128;;;88.1221;-31.9359;0;Bottom;Via173
129;;;76.2762;-32.0042;0;Bottom;Copper Fill50
130;;;59.0169;-20.0154;0;Bottom;Copper Fill430
131;;;19.2786;-37.3763;0;Bottom;Copper Fill525
132;;;73.9394;-65.0115;0;Bottom;Copper Fill419
133;;;16.6497;-93.777;0;Bottom;Copper Fill434
134;;;60.452;-35.3443;0;Bottom;Copper Fill463
135;;THT;12.5572;-13.5209;0;Bottom;J143
136;;;94.7928;-53.8482;0;Bottom;Copper Fill24
137;10µF;0805 [SMD, multilayer];31.6797;-37.0159;0;Top;C32
138;;;18.8214;-21.1584;0;Bottom;Copper Fill323
