*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3.1b
*Date=23:32:57
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;sma-diode;12.3122;-42.4603;180;Top;D18
105;;;83.3596;-40.2378;0;Bottom;Via162
106;;;94.7928;-45.9488;0;Bottom;Copper Fill267
107;;;3.302;-85.5347;0;Bottom;Copper Fill166
108;10µF;A 3216 [SMD, tantalum];84.6296;-89.8703;-90;Top;C16
109;;;83.693;-46.6219;0;Bottom;Copper Fill415
110;;;63.4492;-88.8367;0;Bottom;Copper Fill207
111;;;83.7946;-40.2719;0;Bottom;Copper Fill359
112;;;53.2384;-66.1799;0;Bottom;Copper Fill430
113;;;81.0641;-66.8276;0;Bottom;Copper Fill336
114;;;40.4241;-65.0496;0;Bottom;Copper Fill168
115;;;28.1178;-38.4304;0;Bottom;Copper Fill31
116;;;39.497;-65.9767;0;Bottom;Copper Fill169
117;;;77.2541;-92.8372;0;Bottom;Copper Fill389
118;;;38.5921;-51.0328;0;Bottom;Via148
119;;THT;39.5447;-12.9328;90;Bottom;A5 A7
120;;SO16 [SMD];61.8713;-9.42896;-90;Top;IC6
121;;;94.7928;-51.0288;0;Bottom;Copper Fill24
122;;;71.2597;-11.7096;0;Bottom;Copper Fill494
123;;;1.8796;-56.7819;0;Bottom;Copper Fill136
124;;;42.1005;-8.5346;0;Bottom;Copper Fill478
125;;;25.8953;-76.9114;0;Bottom;Copper Fill482
126;;;41.148;-7.6075;0;Bottom;Copper Fill182
127;;;18.923;-37.1223;0;Bottom;Copper Fill188
128;;;83.185;-15.4942;0;Bottom;Copper Fill314
129;;THT;14.1447;-11.3453;0;Bottom;J170
130;;;29.0449;-17.9072;0;Bottom;Copper Fill367
131;;;21.5392;-75.5271;0;Bottom;Copper Fill100
132;;;1.8542;-14.5671;0;Bottom;Copper Fill124
133;0.22µF;0805 [SMD, multilayer];52.8797;-25.2427;-90;Top;C4
134;;;52.8193;-23.7492;0;Bottom;Copper Fill481
135;;;47.7996;-29.4428;0;Bottom;Via81
136;;;77.6446;-18.9653;0;Bottom;Via116
137;;;3.4798;-49.962;0;Bottom;Copper Fill260
138;;;75.4634;-42.2023;0;Bottom;Copper Fill417
139;;;27.5336;-66.1799;0;Bottom;Copper Fill426
140;;;62.6745;-89.6368;0;Bottom;Copper Fill505
141;;;49.9872;-16.2308;0;Bottom;Copper Fill302
142;;;67.3354;-87.7191;0;Bottom;Copper Fill530
143;;;24.2316;-65.9767;0;Bottom;Copper Fill174
144;;;77.2541;-92.8372;0;Bottom;Copper Fill139
145;;;34.6456;-85.6871;0;Bottom;Copper Fill410
146;;;84.3788;-59.0171;0;Bottom;Copper Fill361
147;;;4.2545;-91.9228;0;Bottom;Copper Fill160
148;;TO220 [THT];6.8422;-83.9712;180;Bottom;Q4
149;;TO220 [THT];33.4487;-68.4953;90;Bottom;Q5
150;;;81.4578;-15.164;0;Bottom;Copper Fill76
151;0.1µF;0805 [SMD, multilayer];70.3422;-32.8627;90;Top;C7
152;;;70.6596;-29.4428;0;Bottom;Via68
153;;;49.9872;-72.0092;0;Bottom;Copper Fill218
154;;;94.7928;-53.5688;0;Bottom;Copper Fill21
